concept id	name	element file id
FMA3710	vascular tree	FJ2925
FMA3710	vascular tree	FJ2933
FMA3710	vascular tree	FJ2944
FMA3710	vascular tree	FJ2950
FMA3710	vascular tree	FJ2955
FMA3710	vascular tree	FJ3020
FMA3710	vascular tree	FJ3040
FMA3711	segment of artery	FJ2055
FMA3711	segment of artery	FJ2073
FMA3711	segment of artery	FJ2216
FMA3711	segment of artery	FJ2219
FMA3711	segment of artery	FJ2268
FMA3711	segment of artery	FJ2271
FMA3714	variant artery	FJ3418
FMA3726	anastomosis	FJ2227
FMA3726	anastomosis	FJ2229
FMA3726	anastomosis	FJ2248
FMA3726	anastomosis	FJ2249
FMA3726	anastomosis	FJ2279
FMA3726	anastomosis	FJ2281
FMA3726	anastomosis	FJ2300
FMA3726	anastomosis	FJ2301
FMA3727	vascular anastomosis	FJ2227
FMA3727	vascular anastomosis	FJ2229
FMA3727	vascular anastomosis	FJ2248
FMA3727	vascular anastomosis	FJ2249
FMA3727	vascular anastomosis	FJ2279
FMA3727	vascular anastomosis	FJ2281
FMA3727	vascular anastomosis	FJ2300
FMA3727	vascular anastomosis	FJ2301
FMA3728	arterial anastomosis	FJ2227
FMA3728	arterial anastomosis	FJ2248
FMA3728	arterial anastomosis	FJ2279
FMA3728	arterial anastomosis	FJ2300
FMA3729	venous anastomosis	FJ2229
FMA3729	venous anastomosis	FJ2249
FMA3729	venous anastomosis	FJ2281
FMA3729	venous anastomosis	FJ2301
FMA3736	ascending aorta	FJ3413
FMA3768	arch of aorta	FJ3411
FMA3784	descending aorta	FJ3427
FMA3789	abdominal aorta	FJ1932
FMA3802	trunk of right coronary artery	FJ2723
FMA3807	right conus artery	FJ2670
FMA3807	right conus artery	FJ2676
FMA3813	anterior ventricular branch of right coronary artery	FJ2667
FMA3813	anterior ventricular branch of right coronary artery	FJ2668
FMA3813	anterior ventricular branch of right coronary artery	FJ2671
FMA3813	anterior ventricular branch of right coronary artery	FJ2672
FMA3813	anterior ventricular branch of right coronary artery	FJ2673
FMA3813	anterior ventricular branch of right coronary artery	FJ2674
FMA3813	anterior ventricular branch of right coronary artery	FJ2675
FMA3813	anterior ventricular branch of right coronary artery	FJ2677
FMA3815	first anterior ventricular branch of right coronary artery	FJ2671
FMA3815	first anterior ventricular branch of right coronary artery	FJ2673
FMA3815	first anterior ventricular branch of right coronary artery	FJ2677
FMA3818	marginal branch of right coronary artery	FJ2667
FMA3818	marginal branch of right coronary artery	FJ2668
FMA3818	marginal branch of right coronary artery	FJ2672
FMA3818	marginal branch of right coronary artery	FJ2674
FMA3818	marginal branch of right coronary artery	FJ2675
FMA3835	posterior ventricular branch of right coronary artery	FJ2714
FMA3835	posterior ventricular branch of right coronary artery	FJ2715
FMA3835	posterior ventricular branch of right coronary artery	FJ2716
FMA3835	posterior ventricular branch of right coronary artery	FJ2717
FMA3835	posterior ventricular branch of right coronary artery	FJ2718
FMA3835	posterior ventricular branch of right coronary artery	FJ2719
FMA3835	posterior ventricular branch of right coronary artery	FJ2720
FMA3835	posterior ventricular branch of right coronary artery	FJ2721
FMA3835	posterior ventricular branch of right coronary artery	FJ2722
FMA3837	first posterior ventricular branch of right coronary artery	FJ2714
FMA3837	first posterior ventricular branch of right coronary artery	FJ2715
FMA3837	first posterior ventricular branch of right coronary artery	FJ2716
FMA3837	first posterior ventricular branch of right coronary artery	FJ2717
FMA3837	first posterior ventricular branch of right coronary artery	FJ2718
FMA3837	first posterior ventricular branch of right coronary artery	FJ2719
FMA3837	first posterior ventricular branch of right coronary artery	FJ2720
FMA3837	first posterior ventricular branch of right coronary artery	FJ2721
FMA3837	first posterior ventricular branch of right coronary artery	FJ2722
FMA3840	posterior interventricular branch of right coronary artery	FJ2692
FMA3840	posterior interventricular branch of right coronary artery	FJ2693
FMA3840	posterior interventricular branch of right coronary artery	FJ2694
FMA3840	posterior interventricular branch of right coronary artery	FJ2695
FMA3840	posterior interventricular branch of right coronary artery	FJ2696
FMA3840	posterior interventricular branch of right coronary artery	FJ2697
FMA3840	posterior interventricular branch of right coronary artery	FJ2698
FMA3840	posterior interventricular branch of right coronary artery	FJ2699
FMA3840	posterior interventricular branch of right coronary artery	FJ2700
FMA3845	septal branch of right posterior interventricular artery	FJ2735
FMA3845	septal branch of right posterior interventricular artery	FJ2736
FMA3847	first septal branch of right posterior interventricular artery	FJ2735
FMA3848	second septal branch of right posterior interventricular artery	FJ2736
FMA3855	trunk of left coronary artery	FJ2737
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2633
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2634
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2635
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2636
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2637
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2638
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2639
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2640
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2642
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2648
FMA3868	conus branch of anterior interventricular branch of left coronary artery	FJ2643
FMA3868	conus branch of anterior interventricular branch of left coronary artery	FJ2644
FMA3870	right anterior branch of anterior interventricular branch of left coronary artery	FJ2632
FMA3870	right anterior branch of anterior interventricular branch of left coronary artery	FJ2641
FMA3870	right anterior branch of anterior interventricular branch of left coronary artery	FJ2645
FMA3870	right anterior branch of anterior interventricular branch of left coronary artery	FJ2646
FMA3870	right anterior branch of anterior interventricular branch of left coronary artery	FJ2647
FMA3872	first right anterior branch of anterior interventricular branch of left coronary artery	FJ2632
FMA3872	first right anterior branch of anterior interventricular branch of left coronary artery	FJ2645
FMA3874	second right anterior branch of anterior interventricular branch of left coronary artery	FJ2646
FMA3876	third right anterior branch of anterior interventricular branch of left coronary artery	FJ2641
FMA3876	third right anterior branch of anterior interventricular branch of left coronary artery	FJ2647
FMA3892	septal branch of anterior interventricular artery	FJ2732
FMA3892	septal branch of anterior interventricular artery	FJ2733
FMA3892	septal branch of anterior interventricular artery	FJ2734
FMA3895	circumflex branch of left coronary artery	FJ2649
FMA3895	circumflex branch of left coronary artery	FJ2650
FMA3895	circumflex branch of left coronary artery	FJ2651
FMA3895	circumflex branch of left coronary artery	FJ2652
FMA3895	circumflex branch of left coronary artery	FJ2653
FMA3895	circumflex branch of left coronary artery	FJ2654
FMA3932	brachiocephalic artery	FJ3417
FMA3939	common carotid artery	FJ3483
FMA3939	common carotid artery	FJ3564
FMA3941	right common carotid artery	FJ3564
FMA3947	internal carotid artery	FJ1682
FMA3947	internal carotid artery	FJ1682M
FMA3949	right internal carotid artery	FJ1682
FMA3951	subclavian artery	FJ3479
FMA3951	subclavian artery	FJ3579
FMA3953	right subclavian artery	FJ3579
FMA3956	vertebral artery	FJ1725
FMA3956	vertebral artery	FJ1725M
FMA3958	right vertebral artery	FJ1725
FMA3960	internal thoracic artery	FJ1937
FMA3960	internal thoracic artery	FJ1972
FMA3969	right internal thoracic artery	FJ1937
FMA3988	right superior epigastric artery	FJ1936
FMA3990	thyrocervical trunk	FJ2255
FMA3990	thyrocervical trunk	FJ2307
FMA3992	right thyrocervical trunk	FJ2307
FMA3994	second posterior intercostal artery	FJ1950
FMA3994	second posterior intercostal artery	FJ1974
FMA4057	right dorsal scapular artery	FJ2284
FMA4058	left common carotid artery	FJ3483
FMA4062	left internal carotid artery	FJ1682M
FMA4066	left vertebral artery	FJ1725M
FMA4068	left internal thoracic artery	FJ1972
FMA4077	left musculophrenic artery	FJ1979
FMA4083	left superior epigastric artery	FJ1971
FMA4084	left thyrocervical trunk	FJ2255
FMA4086	left costocervical trunk	FJ2224
FMA4088	left superior intercostal artery	FJ1970
FMA4112	left second posterior intercostal artery	FJ1974
FMA4134	left deep cervical artery	FJ2226
FMA4149	esophageal artery	FJ1934
FMA4176	posterior intercostal artery	FJ1939
FMA4176	posterior intercostal artery	FJ1950
FMA4176	posterior intercostal artery	FJ1973
FMA4176	posterior intercostal artery	FJ1974
FMA4613	subcostal artery	FJ1967
FMA4613	subcostal artery	FJ1977
FMA4634	right subcostal artery	FJ1967
FMA4654	left subcostal artery	FJ1977
FMA4677	trunk of branch of coronary artery	FJ2631
FMA4694	left subclavian artery	FJ3479
FMA4706	coronary sinus	FJ2655
FMA4707	great cardiac vein	FJ2656
FMA4708	left marginal vein	FJ2703
FMA4708	left marginal vein	FJ2704
FMA4708	left marginal vein	FJ2705
FMA4712	posterior vein of left ventricle	FJ2701
FMA4712	posterior vein of left ventricle	FJ2702
FMA4712	posterior vein of left ventricle	FJ2706
FMA4712	posterior vein of left ventricle	FJ2707
FMA4712	posterior vein of left ventricle	FJ2708
FMA4712	posterior vein of left ventricle	FJ2709
FMA4712	posterior vein of left ventricle	FJ2710
FMA4712	posterior vein of left ventricle	FJ2711
FMA4712	posterior vein of left ventricle	FJ2712
FMA4712	posterior vein of left ventricle	FJ2713
FMA4713	middle cardiac vein	FJ2678
FMA4713	middle cardiac vein	FJ2679
FMA4713	middle cardiac vein	FJ2680
FMA4713	middle cardiac vein	FJ2681
FMA4713	middle cardiac vein	FJ2682
FMA4713	middle cardiac vein	FJ2683
FMA4713	middle cardiac vein	FJ2684
FMA4713	middle cardiac vein	FJ2685
FMA4713	middle cardiac vein	FJ2686
FMA4713	middle cardiac vein	FJ2687
FMA4713	middle cardiac vein	FJ2688
FMA4713	middle cardiac vein	FJ2689
FMA4713	middle cardiac vein	FJ2690
FMA4713	middle cardiac vein	FJ2691
FMA4714	small cardiac vein	FJ2724
FMA4714	small cardiac vein	FJ2731
FMA4716	right marginal vein	FJ2727
FMA4716	right marginal vein	FJ2728
FMA4716	right marginal vein	FJ2729
FMA4720	superior vena cava	FJ3645
FMA4723	brachiocephalic vein	FJ3482
FMA4723	brachiocephalic vein	FJ3583
FMA4724	internal jugular vein	FJ3485
FMA4724	internal jugular vein	FJ3585
FMA4725	subclavian vein	FJ3486
FMA4725	subclavian vein	FJ3587
FMA4729	internal thoracic vein	FJ1993
FMA4731	superior epigastric vein	FJ3530
FMA4731	superior epigastric vein	FJ3615
FMA4732	musculophrenic vein	FJ1988
FMA4732	musculophrenic vein	FJ1996
FMA4751	right brachiocephalic vein	FJ3583
FMA4754	right internal jugular vein	FJ3585
FMA4755	right subclavian vein	FJ3587
FMA4758	right internal thoracic vein	FJ1993
FMA4761	left brachiocephalic vein	FJ3482
FMA4762	left internal jugular vein	FJ3485
FMA4763	left subclavian vein	FJ3486
FMA4771	right superior epigastric vein	FJ3615
FMA4772	right musculophrenic vein	FJ1996
FMA4785	left superior epigastric vein	FJ3530
FMA4786	left musculophrenic vein	FJ1988
FMA4797	left superior intercostal vein	FJ1986
FMA4838	azygos vein	FJ3416
FMA4843	right ascending lumbar vein	FJ3589
FMA4844	right subcostal vein	FJ1995
FMA4877	right superior intercostal vein	FJ1991
FMA4944	hemiazygos vein	FJ3434
FMA4950	left ascending lumbar vein	FJ3493
FMA4951	left subcostal vein	FJ1987
FMA5011	accessory hemiazygos vein	FJ1981
FMA5018	bone organ	FJ2772
FMA5018	bone organ	FJ3152
FMA5018	bone organ	FJ3154
FMA5018	bone organ	FJ3155
FMA5018	bone organ	FJ3156
FMA5018	bone organ	FJ3157
FMA5018	bone organ	FJ3158
FMA5018	bone organ	FJ3159
FMA5018	bone organ	FJ3160
FMA5018	bone organ	FJ3161
FMA5018	bone organ	FJ3162
FMA5018	bone organ	FJ3163
FMA5018	bone organ	FJ3164
FMA5018	bone organ	FJ3165
FMA5018	bone organ	FJ3166
FMA5018	bone organ	FJ3167
FMA5018	bone organ	FJ3168
FMA5018	bone organ	FJ3169
FMA5018	bone organ	FJ3170
FMA5018	bone organ	FJ3171
FMA5018	bone organ	FJ3172
FMA5018	bone organ	FJ3173
FMA5018	bone organ	FJ3174
FMA5018	bone organ	FJ3175
FMA5018	bone organ	FJ3176
FMA5018	bone organ	FJ3177
FMA5018	bone organ	FJ3179
FMA5018	bone organ	FJ3180
FMA5018	bone organ	FJ3181
FMA5018	bone organ	FJ3182
FMA5018	bone organ	FJ3183
FMA5018	bone organ	FJ3184
FMA5018	bone organ	FJ3185
FMA5018	bone organ	FJ3186
FMA5018	bone organ	FJ3187
FMA5018	bone organ	FJ3188
FMA5018	bone organ	FJ3189
FMA5018	bone organ	FJ3190
FMA5018	bone organ	FJ3191
FMA5018	bone organ	FJ3192
FMA5018	bone organ	FJ3193
FMA5018	bone organ	FJ3194
FMA5018	bone organ	FJ3195
FMA5018	bone organ	FJ3196
FMA5018	bone organ	FJ3197
FMA5018	bone organ	FJ3198
FMA5018	bone organ	FJ3199
FMA5018	bone organ	FJ3200
FMA5018	bone organ	FJ3201
FMA5018	bone organ	FJ3225
FMA5018	bone organ	FJ3226
FMA5018	bone organ	FJ3227
